municipio,pop
Abreu e Lima,83486
Afogados da Ingazeira,34524
Afrânio,14227
Agrestina,18713
Água Preta,25353
Águas Belas,34424
Alagoinha,11816
Aliança,36452
Altinho,20504
Amaraji,20905
Angelim,8028
Araçoiaba,13092
Araripina,65941
Arcoverde,60653
Barra de Guabiraba,11252
Barreiros,36867
Belém de Maria,15478
Belém de São Francisco,20407
Belo Jardim,73253
Betânia,10262
Bezerros,52597
Bodocó,24427
Bom Conselho,40523
Bom Jardim,38598
Bonito,33761
Brejão,7778
Brejinho,6799
Brejo da Madre de Deus,37837
Buenos Aires,12997
Buíque,38601
Cabo de Santo Agostinho,152863
Cabrobó,27549
Cachoeirinha,15294
Caetés,18963
Calçado,11400
Calumbi,7204
Camaragibe,121441
Camocim de São Félix,14733
Camutanga,7959
Canhotinho,22206
Capoeiras,19071
Carnaíba,17811
Carnaubeira da Penha,10985
Carpina,55233
Caruaru,248110
Casinhas,12607
Catende,30825
Cedro,7993
Chã de Alegria,10759
Chã Grande,16181
Condado,21718
Correntes,19102
Cortês,14399
Cumaru,23794
Cupira,23439
Custódia,26435
Dormentes,13577
Escada,59261
Exu,30658
Feira Nova,17935
Fernando de Noronha,2033
Ferreiros,9646
Flores,20032
Floresta,24435
Frei Miguelinho,11942
Gameleira,23108
Garanhuns,116027
Glória do Goitá,27985
Goiana,69454
Granito,5872
Gravatá,61825
Iati,15156
Ibimirim,24384
Ibirajuba,7373
Igarassu,79163
Iguaraci,11479
Inajá,10639
Ingazeira,4795
Ipojuca,52622
Ipubi,21631
Itacuruba,4021
Itaíba,23496
Itamaracá,15058
Itambé,33146
Itapetim,15018
Itapissuma,20789
Itaquitinga,14292
Jaboatão dos Guararapes,567728
Jaqueira,10914
Jataúba,18220
Jatobá,11824
João Alfredo,24604
Joaquim Nabuco,13378
Jucati,9454
Jupi,11552
Jurema,12367
Lagoa do Carro,11942
Lagoa do Itaenga,19210
Lagoa do Ouro,10504
Lagoa dos Gatos,14334
Lagoa Grande,18722
Lajedo,31731
Limoeiro,57755
Macaparana,24373
Machados,10482
Manari,11731
Maraial,11803
Mirandiba,12428
Moreilândia,13796
Moreno,41276
Nazaré da Mata,28723
Olinda,356418
Orobó,22606
Orocó,10631
Ouricuri,46821
Palmares,55646
Palmeirina,9781
Panelas,24410
Paranatama,13307
Parnamirim,18438
Passira,26597
Paudalho,42111
Paulista,253149
Pedra,19043
Pesqueira,53556
Petrolândia,23043
Petrolina,216622
Poção,11264
Pombos,22273
Primavera,10717
Quipapá,18480
Quixabá,6798
Recife,1388193
Riacho das Almas,15979
Ribeirão,39363
Rio Formoso,20528
Sairé,14589
Salgadinho,5867
Salgueiro,50899
Saloá,15596
Sanharó,17297
Santa Cruz,11241
Santa Cruz da Baixa Verde,10608
Santa Cruz do Capibaribe,51286
Santa Filomena,8969
Santa Maria da Boa Vista,34594
Santa Maria do Cambucá,11621
Santa Terezinha,9437
São Benedito do Sul,12016
São Bento do Una,48837
São Caitano,31477
São João,18183
São Joaquim do Monte,20364
São José da Coroa Grande,14312
São José do Belmonte,31275
São José do Egito,28955
São Lourenço da Mata,92706
São Vicente Ferrer,16658
Serra Talhada,67292
Serrita,15620
Sertânia,28162
Sirinhaém,30725
Solidão,5174
Surubim,46600
Tabira,23774
Tacaimbó,10703
Tacaratu,15418
Tamandaré,15976
Taquaritinga do Norte,20371
Terezinha,6044
Terra Nova,7261
Timbaúba,55759
Toritama,20139
Tracunhaém,12888
Trindade,20062
Triunfo,13918
Tupanatinga,19305
Tuparetama,8504
Venturosa,14200
Verdejante,8642
Vertente do Lério,8965
Vertentes,12376
Vicência,25646
Vitória de Santo Antão,114449
Xexéu,14235
